Sample_ID,Class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101
M1_12185,0,83721,7416074,1965818,44956,202620,16753,198470,22694,17737,704925,406133,18407,2749120,169711,474918,314315,0,1737247,132674,30021,1849983,134998,963748,102560,1146671,158317,194629,281983,1065671,98854,185735,2464363,52812,12170,0,331814,0,99648,95706,263231,1533856,2673674,54472,193204,36775473,46971,64545,68345,72720,683117,45670,80041,5686958,48606,733284,1094922,2229760,831161,370188,301496,89681,1013922,387192,2770674,93583,275716,65053,223278,76232,728202,205479,1515204,202504,6765724,12401871,5387083,106491,533098,193148,99812,372086,287713,585376,50103,3576727,0,447809,0,36705,0,332178,129140,54558,137458,0,18042,779620,38974,31290,39687,17342
M2_12185,0,85659,6998185,2415482,71386,263845,16854,273633,30344,22086,697142,496814,24629,3786902,200959,556745,270460,0,2731029,173408,34445,2125195,168534,811630,122357,1161616,166430,207360,298648,1151578,132566,233080,3894370,60026,27172,0,599347,0,308202,310037,213825,1623888,3040108,81766,571936,43753568,34537,148364,48469,158509,812498,60305,105593,5976016,62750,588288,1004688,3581905,916091,310538,412255,93860,1244796,265575,2740120,90549,361963,81970,244346,85464,679585,307861,1369200,260407,8571757,15568131,9111775,121870,739799,290164,131311,298449,327775,493244,54834,2953352,0,368783,0,32986,0,234586,161706,73982,175167,0,24491,738133,33382,42529,24466,209906
M3_12185,0,83897,8219345,1740283,121797,143232,32516,244837,20474,29603,744779,261129,21136,2986108,186434,631228,308389,0,1476714,107602,35405,1814398,159004,545823,85960,1268896,154106,230041,260558,989308,179050,213504,3342049,40106,0,0,472070,0,40782,35721,161137,1270533,2734616,56652,128173,35728622,45283,148520,38383,149523,792245,35024,120964,6036691,49826,703446,1103844,3667458,919263,357427,487949,115844,1144692,164285,1520642,51340,297798,66888,249042,88369,374330,306243,771655,209780,9085167,12881018,13050439,132796,723687,363310,115422,411393,311920,293799,61368,1843748,0,263286,0,38605,0,138002,137056,79279,177630,0,29659,685777,31881,43819,30528,102585
M4_12185,0,72970,5071138,884347,57737,96108,22848,111307,20630,46852,824874,376709,34164,3721872,149277,751833,264785,0,1553818,123555,43034,2724311,251275,719628,56897,1557248,172701,287203,331179,1174040,173751,265005,2845495,51466,21674,0,743103,0,222384,222059,175334,1868603,3411382,72222,473817,41678401,83067,178172,47330,176216,1494035,44278,118195,8811864,69551,793683,1375937,4582128,1015957,441025,562071,136032,1446818,195361,1585566,51425,363682,70756,346629,117281,431287,408681,766006,293231,11381465,15586336,10097990,183960,705977,413594,167263,674604,385070,286575,82756,1643566,0,242692,0,41241,0,115575,182405,106741,241902,0,32608,881205,46237,55798,35967,48902
M5_12185,0,120425,2978841,1018805,79983,100932,40954,126908,17550,32424,430130,157860,16160,2935383,232530,756396,245126,0,1281178,107353,36271,2910165,214087,256253,110548,1964361,212473,278588,440828,1811314,190780,362978,647440,35571,14373,0,605812,0,116483,114491,170270,1483909,4263908,61481,265559,65426351,31502,207419,61840,160313,525828,47148,95170,9587019,93004,722888,1109876,6164171,945745,368895,685607,140293,1960106,212583,1606133,55439,675896,120602,267572,101832,459694,440176,791421,456993,18308676,27258158,9617619,158309,1189287,398457,176308,350074,528030,288856,70537,1800645,0,236037,0,44106,0,120978,331476,183087,282207,0,37495,1208058,42475,60032,49402,38153
M1_12198,0,74373,3380665,924821,33017,82360,56002,77737,18900,41822,458558,289943,23194,1278252,115873,648624,250487,0,780732,203457,26056,244107,160248,654234,69365,1282214,196177,267000,335525,1270918,434047,296623,435196,75867,0,0,68179,0,19207,0,238424,2028713,2942575,77930,64752,49709526,43156,102014,81578,54206,618465,64188,217852,7565777,62929,1084047,1499439,1339454,1105022,533663,428473,175576,1200382,188566,2626754,87433,394863,77641,325172,124418,669764,273459,548817,395813,8759129,17785960,5984126,191420,512377,209253,202642,420441,366674,95103,96540,2750856,0,155489,0,50325,0,132713,204688,76159,190109,0,29173,823432,42318,47486,30609,19180
M2_12198,0,67722,4763969,1796713,45088,149879,61980,146454,25842,43907,359487,272927,17937,1124073,116670,538850,214545,0,642914,198358,22457,335509,133102,39073,75892,1084594,186107,228570,275020,1090591,88015,247538,748316,66070,0,0,53308,0,17346,0,178210,1578080,2491624,64521,59352,41886324,17885,73242,65548,41596,509319,50970,223668,6234683,51618,1037316,1297335,1161385,1164469,454237,349405,171849,947154,135090,2186999,73761,316392,68531,290840,112102,520077,220133,450950,307853,7179064,14689491,5923658,174279,404213,192699,178907,157649,300755,83802,88708,2288387,0,129569,0,45132,0,102367,157547,57924,142024,0,24888,598852,38468,40322,26000,17300
M3_12198,0,47748,1450794,792337,35346,40267,85903,93761,28763,68444,400931,111713,17552,1381771,191243,763965,193236,0,359797,109749,20594,200513,123224,817278,127025,1131304,139305,281344,275536,981014,112316,271009,560885,59557,0,0,54234,0,13115,0,148355,1292081,2543459,62427,91381,40995573,13228,255724,43988,117124,238069,39774,243347,15921235,57074,818452,1074626,1411150,1001259,358146,434968,141594,1026821,83270,1362595,43885,268137,52809,279406,93935,334174,238727,298242,286160,9016820,17438532,3653225,149020,510751,217459,151461,97770,318544,97668,80401,1661600,0,104544,0,43307,0,80214,161824,80365,176519,0,22544,742100,45018,37641,31002,14994
M4_12198,0,72871,2684212,923091,39207,64186,58554,83047,19626,47361,203819,108445,23888,1662732,348002,761206,241543,0,569003,182491,28304,311591,146499,82807,34569,1452798,198597,325295,351766,1343311,143106,312722,598390,72156,0,0,77528,0,16587,0,201325,1558978,3231692,103078,99329,51561791,29412,227211,60089,104212,371359,66946,329142,8953523,68756,1125423,1313747,1742187,1414150,462178,522266,254142,1300500,120880,1702010,54692,381646,57655,365411,113764,380959,302138,350796,370207,10339105,19806155,6274573,184153,553310,284533,203186,199011,383620,124205,98652,1524230,0,145710,0,50511,0,70138,204998,87704,200426,0,30826,921384,43775,51367,34657,21954
M5_12198,0,70845,2187225,870397,29346,84089,44199,184432,34642,46303,430408,258638,18138,1372638,145609,570545,193663,0,700912,213795,25333,215420,141857,55790,78965,1257924,196824,256719,344633,1323650,122559,311039,664606,79578,0,0,60849,0,17276,0,152657,1471535,3044597,92861,88236,54767610,27836,98481,54331,64025,255160,56456,394002,7747938,69271,910088,1185432,1728166,1159246,402881,477114,228606,1315280,157552,1798101,61970,432987,68531,297305,116352,429270,302056,371343,388985,10697537,22186111,5704642,178729,625681,283638,201163,196109,396680,89392,93409,1855015,0,124282,0,48995,0,88271,230694,99436,220030,0,28257,946150,43027,41976,34310,25957
