Sample ID,Class,405,435,450,470,505,525,570,590,630,645,660,700,850,870,890,910,940,970,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
Μ1_138,0,5.906786,8.037386,10.40251,14.08854,17.48537,16.48159,13.85365,26.94299,49.30317,54.10192,57.88152,69.98438,59.08799,56.87277,54.65453,49.45749,48.11152,43.61299,1.347754,2.228324,3.06547,4.158243,5.040764,4.802537,4.026298,6.256376,7.924135,7.81936,7.927113,7.255852,6.968349,6.972117,6.963991,6.545109,6.551257,6.496466
Μ2_138,0,5.580437,7.457355,9.533106,12.69514,15.44662,14.61853,12.64957,24.35871,42.84811,47.58926,51.66747,67.61298,55.99329,53.67448,51.38489,46.45644,45.12248,40.55706,1.363451,2.190915,2.967629,4.00432,4.799246,4.580647,3.885165,6.173017,7.903203,7.842648,7.889956,7.198922,7.067937,7.078349,7.074977,6.675536,6.669419,6.601114
Μ3_138,0,5.769719,7.473019,9.480441,12.64165,15.48875,14.59831,12.29208,24.21167,44.75309,49.54131,53.26491,66.53387,55.42487,53.13568,50.88992,46.0428,44.68536,39.95848,1.258976,2.027871,2.774094,3.735112,4.484382,4.268624,3.543088,5.53026,6.898826,6.790256,6.803018,6.191794,5.992603,5.997611,5.994984,5.66238,5.667866,5.6341
Μ4_138,0,5.526419,7.379925,9.427952,12.48853,14.98119,14.19786,12.5181,23.62817,39.98613,44.58173,48.83091,67.29101,54.70927,52.27861,49.89392,45.06664,43.76387,39.21103,1.209608,1.985942,2.710113,3.679541,4.396116,4.19437,3.568724,5.7721,7.566284,7.55939,7.63648,6.889206,6.752661,6.744568,6.737736,6.332951,6.326686,6.215671
Μ5_138,0,5.735366,7.655024,9.848721,13.25596,16.514,15.54747,13.01979,25.9282,48.3379,53.30778,57.04649,69.43578,58.02848,55.83483,53.56514,48.49422,47.20271,42.57423,1.338766,2.243998,3.075094,4.171774,5.06157,4.831712,4.012066,6.407388,8.135944,7.987743,7.987049,7.188872,7.125076,7.158863,7.180275,6.802309,6.824279,6.797237
M1_1315,0,5.68264,7.02055,8.793927,11.70236,14.94166,13.98795,10.63633,23.6159,52.77661,58.75188,61.36269,69.22484,58.26488,56.3941,53.51246,48.62495,47.73642,42.58854,1.231576,1.865495,2.524768,3.475093,4.343414,4.103803,3.066171,5.365921,7.132163,7.006003,6.965815,6.665349,6.518198,6.582721,6.481499,6.158666,6.230848,6.148851
M2_1315,0,5.970913,7.502219,9.5023,12.71021,16.24094,15.21797,11.52207,25.37271,54.96609,60.88137,63.55618,70.8305,59.77905,57.94534,55.00603,50.0338,49.1952,44.07125,1.289098,1.886246,2.512855,3.394813,4.202018,3.975877,2.993336,5.109589,6.576451,6.431234,6.455015,6.24459,6.162602,6.230006,6.138482,5.853897,5.925086,5.869753
M3_1315,0,5.934104,7.520157,9.554811,12.83263,16.4711,15.44695,11.68262,25.70653,55.29674,61.32367,64.00291,71.04953,60.38659,58.58213,55.69043,50.74471,49.90591,44.75866,1.301566,1.92794,2.586809,3.517932,4.362751,4.133004,3.129405,5.284332,6.780876,6.6159,6.633202,6.320358,6.394893,6.455679,6.365607,6.087688,6.156956,6.089048
M4_1315,0,5.763898,7.286377,9.280854,12.50771,16.12093,15.07277,11.28688,25.25535,54.8677,60.989,63.5811,71.07439,60.43566,58.62629,55.69152,50.65616,49.82093,44.6253,1.25537,1.880454,2.562297,3.53739,4.443439,4.204077,3.129249,5.466472,7.171485,7.002189,6.934712,6.540309,6.638386,6.70502,6.615492,6.317385,6.397974,6.331987
M5_1315,0,6.080258,7.535594,9.515659,12.7084,16.20136,15.15533,11.51038,25.14004,54.16727,60.16518,62.77369,70.34201,59.499,57.66792,54.74542,49.82533,48.98716,43.78352,1.264344,1.846112,2.466651,3.338669,4.133039,3.922375,2.969814,4.97728,6.197743,5.998776,5.935146,5.630601,5.746181,5.816085,5.743444,5.519111,5.601345,5.592986
M1_1325,0,6.074411,7.695118,9.645313,12.65948,15.60427,14.75367,11.53195,24.3568,47.78077,53.04501,56.2926,69.16226,58.07415,56.13242,53.15246,48.36462,47.54071,42.63834,1.29342,1.9787,2.649705,3.508947,4.201477,3.999085,3.116459,5.011666,6.329538,6.186321,6.079836,5.460032,5.557172,5.613209,5.530982,5.306412,5.383616,5.366808
M2_1325,0,6.214692,8.284003,10.63309,14.18256,17.5258,16.5876,13.1367,26.66353,49.02046,54.46583,57.87059,71.01568,61.26033,59.42397,56.36357,51.33239,50.52608,45.46593,1.302423,2.006804,2.688269,3.577684,4.324707,4.13579,3.255706,5.267311,6.781829,6.698152,6.681538,6.051424,6.061358,6.096462,5.986389,5.706253,5.764591,5.654769
M3_1325,0,6.121167,7.932663,10.05424,13.30901,16.46208,15.57506,12.16348,25.42626,48.60036,53.83995,57.01824,69.17577,59.78457,57.92286,54.95597,50.05815,49.26047,44.28518,1.308174,1.993218,2.662436,3.533677,4.272203,4.076838,3.183621,5.204956,6.683457,6.582978,6.568059,5.999724,6.05822,6.098204,6.010068,5.738838,5.810931,5.731041
M4_1325,0,6.061817,7.826727,9.902592,13.0606,16.07309,15.1685,11.83157,24.8187,47.1573,52.39816,55.71105,69.47699,58.63348,56.7081,53.59134,48.75395,47.97789,43.03342,1.233643,1.929029,2.603327,3.469411,4.131325,3.944724,3.065793,4.868111,5.95792,5.825936,5.730027,5.273092,5.191092,5.238895,5.144154,4.927114,5.003742,4.996041
M5_1325,0,6.207796,8.043221,10.1939,13.46998,16.59957,15.70728,12.26727,25.43852,48.3826,53.47655,56.53147,68.75909,59.65257,57.82219,54.82045,49.93159,49.13753,44.15293,1.285342,1.967953,2.644992,3.533357,4.303643,4.097901,3.175263,5.154779,6.464775,6.296928,6.166224,5.492855,5.594577,5.654747,5.590096,5.402539,5.478491,5.487658
M1_1336,0,6.442982,8.449549,10.80175,14.3579,17.81068,16.73351,12.85164,27.09937,51.0923,56.56054,59.65006,71.62717,61.09081,59.21376,55.95192,50.63092,49.78584,44.21907,1.321247,2.071201,2.742208,3.556826,4.180225,3.990862,3.12212,4.69894,5.507066,5.354883,5.25532,4.964325,5.004323,5.066723,4.988417,4.802465,4.88105,4.89244
M2_1336,0,6.602317,8.531486,10.79776,14.25741,17.62703,16.54988,12.80935,26.7217,50.65878,56.31591,59.49553,71.596,60.75735,58.83253,55.60794,50.36967,49.53518,43.98018,1.120538,1.882007,2.546027,3.341479,3.940357,3.771573,2.964709,4.399483,4.894477,4.704606,4.606546,4.366071,4.54776,4.606806,4.54742,4.395174,4.476118,4.517722
M3_1336,0,6.538108,8.520054,10.85299,14.35249,17.883,16.83033,12.92358,27.18053,51.89001,57.75053,60.78326,71.83646,61.46518,59.66996,56.55824,51.4938,50.77677,45.65974,1.206058,1.990791,2.66711,3.495488,4.165418,3.985491,3.12635,4.692259,5.455702,5.302496,5.217968,4.92505,5.004873,5.074671,5.009301,4.800212,4.892641,4.919994
M4_1336,0,6.958471,9.125441,11.55108,15.18016,18.84852,17.78797,13.84497,28.45716,53.41964,59.0443,62.05954,73.10445,62.86356,61.07771,57.91627,52.6502,51.96571,46.90529,1.322442,2.117207,2.804772,3.635831,4.293125,4.113773,3.27441,4.822909,5.565188,5.456885,5.404973,5.33918,5.32157,5.379716,5.292085,5.020672,5.102269,5.093344
