SampleId,Class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
1b_100a,100,128061,9238,18070404,0,1164783,28104,19675,47611,223203,119311,396008,85818,41667,107694,17718,0,0,513816,53503,301005,2567656,336932,19250,0,20078,1821285,326173,0,0,27483,48918,0,31686,0,211608,43709,114278,23210,1272715,185402,208774,40338,282720,2200046,278616,898212,0,391808,30667,0,70359,0,0,20104,0,0,30981,299163,0,0,1695368,4038738,0,0,0,0,0,76117901,135051,13439,0,0,1153661,255775,88477,21575209,44062,232675,561600,1446598,0,24855,171044,254923,630232,106996,0,104828,3060242,0,0,73489,127737,414292,45161,569616,20150,431307,160464,120104,0,177419,567966,114158,150628,408197,24304537,30670396,659692,2436033,3005864,0,128700,0,1206207,549344,188013,86873,453975,1277529,87196,29535,26446,19871,85062,0,1558169,350497,27594,90932,30017,122025,31979,330101,47820,0,343087,240481,734470,0,50917,0,0,57167,40709,4164918,35845,1013077,128884,71562,103447,373104,148295,208010,0,0,61712,0,0
1b_100b,100,142670,8108,22635843,0,1099914,43339,11417,95915,243773,173200,323272,60820,40529,64044,19309,0,0,475139,58088,427327,3606584,319085,18427,0,0,1121667,266774,0,0,25089,32863,0,27758,0,188581,39153,111161,22643,1439379,201502,245649,55532,169471,2557887,236968,932532,757263,387121,23860,0,71125,0,0,22328,0,0,26446,104760,0,0,1516870,4336915,0,0,0,0,0,74893184,128372,34975,0,17224,1466438,0,98277,21818624,61460,158387,413329,1487358,0,31517,118301,184994,693583,98804,0,122706,3220123,72774,0,0,96053,240611,26976,575564,0,453452,155464,0,0,79044,606101,66886,0,483679,23336975,20678488,0,0,2148240,0,101139,0,1249074,553010,182015,145510,591633,1356640,80687,29515,19781,0,65066,0,515369,252813,13925,77050,29759,70737,25574,368352,13603,0,298767,150383,713958,0,58721,0,0,18212,54328,3946154,23539,777081,93110,75342,105943,266333,0,113911,0,0,0,0,0
1b_100c,100,136552,11469,19283590,0,1128894,30908,21457,48205,192859,116181,428502,76116,40078,198731,20839,0,0,553919,65494,311691,2515756,370475,16823,0,21705,1622548,364594,0,0,36577,49460,0,34591,0,191023,47046,135580,32384,1582038,238086,206310,49081,219237,2299610,288302,814001,0,377400,30726,22225,95365,0,0,18756,0,0,34715,210064,135336,0,1953716,4483385,0,0,0,0,0,49283872,119560,14115,0,0,1245032,0,80052,22324548,49078,309577,721299,1653704,18850,21688,229004,341649,605988,0,0,129868,2926280,0,76745,142822,148438,949957,102461,720625,41089,547625,151942,199557,0,338598,637399,255605,141056,486937,24615476,28184838,0,0,2776648,0,153445,0,1177131,587450,217869,153716,508947,1295479,88603,26888,44193,27671,96931,0,1642287,423350,25019,88974,33652,128297,30430,435409,47791,0,344900,235123,762722,0,64683,0,0,210590,48854,4304335,31557,871610,148049,81163,147762,457915,116587,171691,0,0,0,0,0
1b_100d,100,125401,7669,18373224,0,1048853,21032,26873,36954,269104,81081,133809,0,0,93079,20024,0,0,515559,46209,267004,2177920,350382,11242,0,0,1734641,364031,0,0,29731,64526,0,32008,0,175668,45484,137112,27722,1327888,213159,217410,0,190428,1891383,235880,578839,0,345602,44153,23076,83640,53091,0,0,0,0,31571,197638,160463,0,1534668,3656270,0,0,0,0,0,40645496,123302,0,0,0,1031353,187987,63848,19962089,58893,221253,528677,1230620,0,17781,172021,250838,487467,63144,0,93741,2135414,0,0,68734,179487,411518,46148,572129,19944,414082,108503,203413,0,134680,474038,120147,123057,432258,19022946,21373762,0,0,2263232,0,101444,0,758411,476545,154740,70586,403174,968550,81113,24368,25790,14333,67897,0,853590,190591,21123,74256,22866,81996,15672,304854,23184,0,252419,177301,590229,0,43851,0,0,121092,33809,2894430,28152,923804,119317,56448,109387,302171,86444,114082,0,0,0,0,0
1b_100e,100,107555,11041,21628398,0,961687,31610,10815,97458,200841,163853,789270,0,50012,96700,18753,0,0,483389,45465,352140,3106368,272823,13372,0,14226,1094294,325661,0,0,21469,0,0,27148,0,162034,42926,93189,0,1114487,142324,212419,42757,127258,1964683,184553,669134,0,380801,16295,0,71315,47203,0,22416,0,0,0,0,143674,0,1382537,3671102,0,0,0,0,0,42580352,127810,29271,0,0,1689386,0,72567,21327598,0,167354,481403,980465,0,32250,121432,186492,497481,0,0,97745,2194877,0,0,58907,84655,360170,40650,569599,0,373140,139502,201951,0,135926,450277,96980,0,358529,17144135,15444512,0,291510,1750008,0,111474,0,892599,389601,143295,0,553122,1076787,71559,29585,23556,0,77800,0,719065,252978,0,57553,0,65322,0,292033,21756,0,231935,0,528583,0,0,0,0,0,0,2916963,0,846563,110539,66273,85610,179926,0,0,0,0,275858,0,0
2b_100a,100,0,0,3586979,0,1284013,26596,8647,187333,64148,157555,684238,29413,0,54201,32833,0,0,1603736,0,0,72812096,3243405,0,0,0,377865,536772,0,84215,0,0,0,19975,0,186815,29693,99867,43551,711335,58653,743343,0,66474,197663,96803,336799,2216764,0,652096,28300,61212,49064,0,0,0,0,0,78086,0,0,603413,1441065,0,0,0,0,0,7066652,56281,0,0,0,0,0,0,27005093,0,141315,355959,470797,0,26659,141047,164509,413179,0,0,0,430562,0,0,0,0,44082,0,0,0,0,66159,126108,52635,0,141163,0,0,0,7273726,6598643,0,0,89184,0,78203,0,84699,230065,0,0,24955,268030,111087,24818,0,0,0,0,147616,156110,18560,2388628,40647,0,0,34758,0,252947,48700,0,228140,0,38039,0,39342,0,0,1261326,0,0,194052,0,55865,172917,0,0,0,0,0,17601,24142
2b_100b,100,55092,6726,7743425,320942,2215450,40419,11696,286407,62728,214969,801283,28630,48436,115461,29133,5749,1960175,65180264,21806216,260534,65180264,2879356,16545,11516,40592,308068,395227,9717,22237227,0,0,0,18799,70643,190647,25895,70643,5376,785591,84830,648817,9823,124527,346716,124527,396290,5030270,331385,3973572,20006,44846,40321,73621,0,6348,27468,8991,11465,0,0,698903,1519869,57633,1044284,32270,69779,7926,12272360,61615,2897,5630,3380,147126,111087,41505,22868104,20384,173824,423487,452864,3236,24589,158465,206151,319923,42897,17805,673037,726978,47256,62945,0,9156,126173,0,13431,0,80629,46174,106756,67796,0,154282,27446,0,281957,7355742,7589862,91666,2723703,88655,272576,104032,0,90784,196559,35769,73076,36232,344502,93993,25296,105707,0,0,0,309003,247777,17541,2246635,43694,41751,8381,62875,0,195440,36488,74122,179208,0,34607,0,41216,30184,0,1245742,38746,67641,154919,0,153278,189939,27505,27982,40349,17698,80450,14266,12451
2b_100c,100,51195,5445,3664068,20542,2299868,49070,10873,324496,72483,219199,2262895,0,0,85245,32483,0,0,1207435,0,278520,68159040,3148506,0,0,0,327968,421679,10053,0,0,0,0,18295,0,187842,0,74944,42815,722509,82665,662103,0,73623,269301,96606,328861,2805719,95994,0,18793,53310,37018,0,0,0,0,0,53190,0,0,730290,1380653,0,0,0,0,0,10350990,53283,0,0,2973,129425,116507,0,22836888,0,161316,446870,409941,0,27424,153287,197660,358934,0,0,0,380267,0,0,0,0,76305,0,0,0,74872,67940,69875,65652,0,0,0,0,0,7014027,6318980,80810,0,110813,0,92840,0,82424,195693,0,58511,0,235819,89554,21836,0,0,0,0,188741,347510,24690,3192457,43613,0,0,48477,0,294802,39985,0,167953,0,33626,0,53845,26845,0,891171,46684,0,169425,0,106357,188531,0,0,0,0,0,17375,0
2b_100d,100,54303,26224,2758837,395755,2638768,49882,7992,657330,51912,195878,1933046,29507,33826,46222,25967,6047,2787845,83433472,31790274,355178,83433472,3682656,12191,16044,59529,183325,360107,11622,32353884,0,0,0,16769,64912,138266,20800,64912,4502,644899,42736,889575,10138,52735,177951,52735,258907,2851263,333337,3819153,20150,41001,38220,69288,0,5601,19427,9210,9866,0,0,351128,1153025,39100,817465,32746,59040,8365,5693879,37882,4838,1926,6426,96154,47841,27482,24259283,1260775,88273,254356,402660,1611,35910,80947,98706,329267,31743,15887,297952,280658,29857,155228,0,1810,50157,0,11804,0,23216,32697,42337,21464,0,107250,6886,0,218875,5629804,4123686,74114,1403462,66095,137583,49950,0,64752,175547,20258,33621,18064,172851,92008,13063,1911,0,0,0,104079,56939,11876,3083123,44430,29647,8413,19234,0,218966,19575,47467,141938,0,28485,0,36624,15857,0,675334,30150,18980,96022,0,58093,126233,2075,3173,583,14790,36263,8680,8145
2b_100e,100,63805,0,10239004,0,2396437,46621,0,402247,65173,183084,1949098,35556,0,47114,28333,0,0,1207962,0,0,67652224,2660558,0,0,43280,316294,390153,0,93519,0,0,0,19865,0,147821,0,0,35519,1007962,108464,644078,11774,117257,377750,79431,414855,3507377,117894,0,0,44287,0,74721,0,0,0,0,0,0,0,473102,1876937,0,0,0,96605,0,13851014,45998,0,0,0,244635,0,0,22022426,0,111111,299675,473027,0,24081,100473,144671,403204,0,0,0,488654,0,0,0,0,53988,0,0,0,108243,73582,107463,0,0,144055,0,0,0,9252764,8336051,0,0,147380,0,66081,0,94077,188909,0,0,27488,305981,74199,24054,0,0,0,0,180366,195624,19188,2606651,63297,0,0,69854,0,276111,0,0,201781,0,0,0,42456,0,0,1032798,41687,0,132718,0,68397,252166,0,0,0,0,0,0,0
