Sample  ,Class,Glucose,CitricAcid,LacticAcid,FormicAcid,AceticAcid,PropionicAcid
4b_100a,100,1.267602,0.19386,6.690372,7.14377,0.466284,0.805628
4b_100b,100,1.26778,0.159468,6.692658,6.569156,0.334654,0.787746
4b_100c,100,1.167642,0.04517,6.495664,7.314782,0.371836,0.823778
4b_80a,80,1.12489,0.235344,6.713528,2.590554,0.315902,0.722462
4b_80b,80,1.139798,0.252882,6.84486,2.099788,0.193312,0.76681
4b_80c,80,1.23082,0.382258,7.236956,2.270374,0.24458,0.81896
4b_70a,70,1.007392,0.216938,6.678238,1.868522,0.157242,0.77674
4b_70b,70,1.196152,0.329794,7.03141,2.260286,0.213736,0.79622
4b_70c,70,1.196226,0.1722,6.876262,1.893654,0.216974,0.77042
4b_60a,60,1.187484,0.246208,6.700658,1.605692,0.280244,0.726658
4b_60b,60,1.164332,0.310454,6.695924,1.724878,0.29004,0.720074
4b_60c,60,1.118592,0.282564,6.675716,1.799912,0.276982,0.73182
4b_50a,50,1.126202,0.61415,7.439464,2.155514,1.030458,1.556106
4b_50b,50,1.028822,0.651772,6.499282,1.604742,0.707358,0.518782
4b_50c,50,0.989092,0.404304,6.044818,1.922722,0.376252,0.583812
4b_40a,40,1.178506,0.519744,5.651592,2.169768,0.414442,0.47228
4b_40b,40,1.600468,0.411978,5.400724,1.968174,0.345708,0.284718
4b_40c,40,1.102976,0.612724,5.596706,2.118714,0.390926,0.625482
4b_30a,30,1.485118,0.643844,5.586688,1.98808,0.525122,0.532828
4b_30b,30,1.270144,0.535844,5.438542,1.99868,0.552506,0.471968
4b_30c,30,1.161626,0.612232,5.573524,1.97456,0.566408,0.56307
4b_20a,20,1.40974,0.768628,5.275778,2.0498,0.518876,0.52144
4b_20b,20,1.202454,0.877016,5.805806,1.785878,0.446494,0.219902
4b_20c,20,1.290228,0.670928,5.74576,1.880484,0.750152,0.682276
4b_100d,100,1.135342,0.835786,4.85957,7.097482,1.86339,1.042262
4b_100e,100,1.308342,0.887204,5.419644,7.272198,1.854272,1.632716
4b_00a,0,0.569126,1.55317,6.06981,1.608594,0.217528,0.638152
4b_00b,0,0.552788,1.566766,5.948362,1.630618,0.21079,0.73108
4b_00d,0,0.597082,1.581542,5.977276,1.412298,0.15832,0.584854
4b_00e,0,0.570402,1.659988,5.825394,1.467986,0.17227,0.655838
4b_00f,0,0.536794,1.665216,5.80679,1.597258,0.263536,0.701006
3b_00a,0,0.907644,0.665628,6.411962,1.236402,0.228282,0.42522
3b_00b,0,0.937194,0.572764,6.3318,1.164082,0.127752,0.41302
3b_00c,0,0.899008,0.57426,6.37428,1.16414,0.14524,0.440974
3b_00d,0,1.030524,0.75731,7.393658,1.22789,0.258776,0.713364
3b_00e,0,0.893066,0.501908,6.687802,1.235924,0.080684,0.454834
3b_80c,80,1.126556,0.293452,6.506254,1.599214,0.122626,0.873908
3b_80d,80,1.32352,0.414536,6.875878,1.757824,0.213108,1.00644
3b_80e,80,1.312488,0.30626,6.68898,1.891776,0.22914,1.004062
3b_70c,70,1.40464,0.410872,6.818602,1.976612,0.254186,0.886796
3b_70d,70,1.407282,0.550864,6.681864,2.160708,0.222658,0.922096
3b_70e,70,1.492524,0.5974,6.950214,2.0654,0.155472,1.013028
3b_50c,50,1.174558,0.6256,6.255768,1.780052,0.140614,0.75265
3b_50d,50,1.198452,0.527254,6.441626,1.773042,0.27562,0.742838
3b_503,50,1.185308,0.65213,6.576716,1.908916,0.306648,0.748246
3b_30c,30,1.251772,0.68736,5.82342,2.056286,0.31054,0.49641
3b_30d,30,0.990518,0.559164,6.025232,2.092658,0.246086,0.471426
3b_30e,30,0.814844,0.434676,5.84966,2.03379,0.432002,0.566002
3b_20c,20,0.862462,0.492124,5.47691,2.173244,0.365454,0.464268
3b_20d,20,1.03154,0.51291,5.816374,2.29021,0.440868,0.479444
3b_20e,20,1.041938,0.65855,5.468692,2.47822,0.413494,0.42681
3b_100e,100,1.25174,0.083918,6.631744,5.837906,0.506324,0.618338
3b_100b,100,1.2841,0.179374,6.94245,5.738404,0.374414,0.753622
3b_100c,100,1.283884,0.203022,6.925566,6.136604,0.609108,0.703148
3b_100d,100,1.19843,0.082274,6.548032,5.918456,0.61542,0.86568
2b_100a,100,0.883426,0.279994,7.110656,4.978234,0.444186,0.354784
2b_100b,100,0.853296,0.253418,6.973692,5.503094,0.382742,0.357284
2b_100c,100,0.903482,0.227736,7.110102,3.845952,0.330944,0.2515
2b_100d,100,0.89996,0.275602,7.239374,4.827704,0.33196,0.382694
2b_80a,80,1.196132,0.287984,7.671868,3.55387,0.314564,0.44534
2b_80d,80,1.146282,0.257924,7.265168,3.450364,0.310088,0.380466
2b_80e,80,1.221464,0.227592,7.14381,3.161116,0.299748,0.358418
2b_70a,70,1.337736,0.219282,7.126974,3.043086,0.190558,0.435374
2b_70d,70,1.214564,0.210258,7.077946,3.004604,0.198818,0.466908
2b_70e,70,1.334162,0.225338,6.832384,2.874598,0.312814,0.454932
2b_50a,50,1.457562,0.202058,6.609164,2.301906,0.258268,0.22059
2b_50d,50,1.539492,0.243354,6.913486,2.055238,0.307926,0.453392
2b_50e,50,1.318598,0.19534,5.971204,2.370216,0.303984,0.356408
2b_30a,30,1.34509,0.242618,5.927586,2.646454,0.319812,0.300244
2b_30d,30,1.454776,0.314758,5.475274,2.345284,0.41418,0.345492
2b_30e,30,1.571212,0.293768,5.961734,2.328122,0.488872,0.52279
2b_20a,20,1.581702,0.229396,6.023554,2.095464,0.399552,0.442178
2b_20d,20,1.550862,0.216156,5.840038,2.296646,0.338562,0.353838
2b_20e,20,1.566496,0.335964,6.008124,2.439736,0.211662,0.441594
2b_00a,0,1.307838,0.352382,5.56803,1.97162,0.294876,0.392132
2b_00b,0,1.59692,0.315602,5.205834,1.881412,0.336238,0.500134
2b_00c,0,1.522428,0.331876,6.348682,2.196928,0.39058,0.312352
2b_00d,0,1.598602,0.241122,6.270154,1.974562,0.241092,0.485802
1b_100a,100,0.783962,0.47022,5.888632,2.353814,0.292058,1.31246
1b_100b,100,0.824396,0.154252,6.000822,2.419572,0.371506,1.86485
1b_100c,100,0.746542,0.12443,5.973412,2.239192,0.341426,1.75162
1b_100d,100,0.741676,0.086578,6.175388,2.198992,0.2614,1.730792
1b_80c,80,1.076162,0.168724,6.044136,2.055856,0.29355,1.665128
1b_80d,80,1.009438,0.177746,5.54115,2.13422,0.29359,1.414386
1b_80e,80,1.019146,0.19735,5.812592,2.20588,0.43103,1.194436
1b_70c,70,0.975316,0.168734,4.419908,2.113004,0.238478,0.917308
1b_70d,70,1.085454,0.188452,5.004786,2.146074,0.40862,1.113894
1b_70e,70,1.086238,0.273624,4.96443,2.128968,0.257938,1.322056
1b_50c,50,0.802478,0.25021,4.729,2.36124,0.668726,1.236808
1b_50d,50,0.781446,0.602722,4.179084,2.113746,0.303046,0.888166
1b_50e,50,0.950382,0.368162,4.335094,2.337216,0.3846,0.750452
