Sample.ID,Class,X405,X435,X450,X470,X505,X525,X570,X590,X630,X645,X660,X700,X850,X870,X890,X910,X940,X970,StdDev.405,StdDev.435,StdDev.450,StdDev.470,StdDev.505,StdDev.525,StdDev.570,StdDev.590,StdDev.630,StdDev.645,StdDev.660,StdDev.700,StdDev.850,StdDev.870,StdDev.890,StdDev.910,StdDev.940,StdDev.970
b1_00a,0,6.766485,9.289492,12.05374,17.06181,19.26851,17.73252,14.63637,22.52383,39.76925,44.20815,46.29532,55.36504,60.2228,58.78794,56.3532,49.9593,48.33362,41.05348,1.146029,1.90087,2.518204,3.35335,3.853485,3.728672,3.314967,4.656965,5.228925,5.163902,5.199727,4.999646,4.513697,4.52725,4.580781,4.320478,4.397122,4.409956
b1_00b,0,7.363796,9.935564,13.27101,19.62795,21.59081,19.81018,16.55213,24.31342,41.97521,46.53661,48.67695,57.81284,62.24242,60.73185,58.16958,51.32985,49.59613,41.74406,1.288171,2.068149,2.788236,3.798568,4.302052,4.197907,3.822758,5.158261,5.502526,5.332474,5.314919,4.907082,4.331166,4.348007,4.398414,4.15064,4.215381,4.221547
b1_00c,0,7.220796,9.829833,13.09323,19.19028,21.11772,19.45133,16.4837,24.08923,40.90545,45.41941,47.67548,57.32872,61.12716,59.55943,56.97278,50.27423,48.54823,40.80384,1.317716,1.986051,2.631168,3.558411,3.898777,3.799877,3.507456,4.520999,4.679763,4.562539,4.572156,4.341242,4.172925,4.192698,4.230736,3.960145,4.027278,4.062184
b1_00d,0,7.251147,9.547757,12.81553,19.19827,20.84211,19.07568,16.04384,23.31287,40.53798,45.083,47.22824,56.57621,61.32858,59.88258,57.37244,50.80685,49.17132,41.73855,1.383364,2.020125,2.778963,3.9854,4.285155,4.131306,3.767695,4.788502,5.09022,4.988085,4.990207,4.733234,4.560822,4.585081,4.625485,4.345985,4.424123,4.463268
b1_00e,0,7.203229,9.692718,12.87091,18.97513,20.73045,19.05449,16.18266,23.54896,40.43351,45.02773,47.29806,57.15496,61.67964,60.19456,57.63337,50.89268,49.21111,41.55904,1.195402,1.854297,2.461263,3.357361,3.678689,3.589139,3.336465,4.421386,4.702194,4.640138,4.698835,4.605503,4.30543,4.318244,4.355853,4.100197,4.182234,4.247215
b1_10a,10,6.562337,8.897626,11.48729,16.18465,17.91839,16.55205,13.93373,21.0424,36.2334,40.58432,42.91992,53.79695,57.27951,55.73475,53.1441,47.04715,45.50539,38.45111,1.051331,1.72739,2.271975,2.97121,3.385468,3.295013,2.988913,4.224001,4.628872,4.558171,4.597131,4.453179,3.886603,3.873209,3.959239,3.75815,3.823428,3.824311
b1_10b,10,6.741979,8.98565,11.81317,17.12307,18.54976,17.11391,14.6208,21.37589,36.21148,40.59334,42.98354,54.2435,57.56525,56.00721,53.37943,47.23905,45.71429,38.67272,1.204191,1.812478,2.411508,3.294651,3.628059,3.519703,3.232211,4.336181,4.659105,4.57251,4.571452,4.327017,3.931803,3.922547,3.998931,3.776258,3.828672,3.800742
b1_10c,10,6.679853,9.000683,11.6716,16.51252,18.17382,16.81497,14.25502,21.45323,36.34629,40.69379,43.10398,54.49833,57.41328,55.81922,53.16216,47.01386,45.49538,38.39863,1.205263,1.795191,2.349771,3.199915,3.510382,3.387544,3.100917,4.288574,4.890334,4.928373,4.98373,4.968236,4.736899,4.707008,4.741097,4.385456,4.427268,4.258955
b1_10d,10,6.968589,9.265993,12.28881,18.04959,19.38365,17.85431,15.26293,21.8653,36.77044,41.08521,43.37115,54.13852,57.81508,56.30288,53.66578,47.46113,45.95496,38.89664,1.182605,1.822487,2.456305,3.372966,3.673943,3.583325,3.349229,4.347807,4.529844,4.453845,4.477399,4.294705,3.975016,3.967424,4.036631,3.86224,3.94069,3.987712
b1_10e,10,6.645452,8.845561,11.59214,16.73313,18.09947,16.69382,14.24506,20.93005,35.51974,39.89856,42.30437,53.76138,57.3604,55.80863,53.16321,47.06395,45.58883,38.60819,1.111182,1.754989,2.361883,3.222009,3.577657,3.492378,3.237324,4.55401,4.752443,4.648518,4.69977,4.612598,3.788987,3.771282,3.868885,3.734226,3.817142,3.872027
